client_id,client_name,region,contract_type,consumption_kwh,billing_date,co2_emissions,cost_per_kwh,total_cost,renewable_energy_percentage
46,Smith-White,Centro,Residencial,5380,2024-08-27,997.3,0.22,1183.6,90
47,"Gutierrez, Smith and Chen",Norte,Comercial,6773,2024-10-02,574.69,0.22,1490.06,71
48,"Phillips, Smith and Huffman",Oeste,Comercial,972,2024-04-20,476.77,0.11,106.92,41
49,"Carter, Jordan and Perez",Sur,Comercial,8196,2024-02-04,1911.58,0.2,1639.2,84
50,Clark PLC,Norte,Residencial,544,2024-05-07,1166.16,0.18,97.92,84
51,Wood-Smith,Norte,Residencial,9144,2024-05-10,353.97,0.22,2011.68,45
52,"Morris, Fritz and Hughes",Sur,Comercial,6398,2024-05-07,787.26,0.19,1215.6200000000001,5
53,"Martin, Martin and Hardy",Centro,Residencial,1058,2024-02-28,1746.22,0.24,253.92,32
54,Arnold Ltd,Norte,Comercial,4676,2024-09-13,1838.71,0.24,1122.24,84
55,Davis-Clark,Norte,Comercial,7473,2024-01-31,145.12,0.18,1345.1399999999999,23
56,"Reid, Powell and Buck",Este,Comercial,1556,2024-07-16,682.07,0.11,171.16,42
57,Jones-Young,Este,Comercial,7141,2024-06-11,1550.19,0.18,1285.3799999999999,45
58,Martin Inc,Norte,Comercial,3807,2024-09-05,1914.8,0.18,685.26,44
59,Smith-Jordan,Oeste,Comercial,7197,2024-11-03,1925.87,0.17,1223.49,75
60,Obrien-Sellers,Norte,Comercial,5620,2024-08-25,279.36,0.24,1348.8,61
61,Williams PLC,Sur,Residencial,6264,2024-02-18,673.31,0.14,876.96,40
62,Brown-Franklin,Oeste,Comercial,9777,2024-10-15,1950.84,0.11,1075.47,41
63,"Warren, Hicks and Huerta",Centro,Comercial,3145,2024-11-08,1485.81,0.18,566.1,3
64,"Davis, Oconnor and Wilson",Norte,Comercial,3909,2024-03-19,665.86,0.19,742.71,9
65,"Deleon, Perez and Hardy",Norte,Comercial,3070,2024-08-11,923.8,0.25,767.5,83
66,"Mcdowell, Rice and Bauer",Norte,Residencial,5145,2024-01-09,973.07,0.22,1131.9,38
67,Oconnor Inc,Sur,Comercial,5867,2024-08-13,940.39,0.2,1173.4,49
68,Gilmore-Thompson,Centro,Comercial,9457,2024-10-09,345.37,0.1,945.7,40
69,Johnson Ltd,Este,Residencial,5189,2024-03-28,1333.87,0.19,985.91,59
70,"Camacho, Page and Curtis",Oeste,Residencial,257,2024-02-28,398.74,0.18,46.26,10
71,"Wolf, Martinez and Austin",Sur,Residencial,6715,2024-07-13,1610.4,0.21,1410.1499999999999,79
72,Crawford Group,Oeste,Residencial,6120,2024-08-02,1816.05,0.23,1407.6000000000001,55
73,Sutton and Sons,Norte,Comercial,5357,2024-01-20,504.24,0.18,964.26,34
74,Ford LLC,Norte,Residencial,8819,2024-08-03,1504.66,0.24,2116.56,57
75,Johnson-Smith,Este,Comercial,4421,2024-05-23,942.1,0.15,663.15,33
76,"Berger, Gaines and Obrien",Norte,Comercial,1272,2024-02-27,416.53,0.17,216.24,60
77,Garcia-Jones,Centro,Residencial,5090,2024-11-04,385.38,0.21,1068.8999999999999,7
78,Raymond-Kane,Este,Residencial,5687,2024-10-15,482.67,0.13,739.3100000000001,75
79,"Schneider, Davis and Brown",Norte,Comercial,396,2024-06-01,724.28,0.12,47.519999999999996,32
80,Coleman and Sons,Oeste,Comercial,7450,2024-10-29,1418.8,0.1,745.0,29
81,Bass PLC,Este,Comercial,3245,2024-08-16,502.06,0.11,356.95,93
82,"Lam, Martinez and Jones",Este,Comercial,3939,2024-06-29,553.98,0.24,945.36,30
83,Quinn Inc,Este,Residencial,7240,2024-02-01,1658.22,0.14,1013.6000000000001,17
84,"Taylor, Roberts and Lopez",Centro,Residencial,6480,2024-06-01,1388.47,0.25,1620.0,41
85,Sparks PLC,Sur,Residencial,2069,2024-06-29,1790.14,0.13,268.97,22
86,Bell-Berg,Este,Residencial,1148,2024-02-05,252.3,0.17,195.16000000000003,12
87,Rodgers-Clements,Centro,Comercial,4905,2024-03-12,1738.54,0.15,735.75,7
88,"Wilson, Gardner and Randall",Norte,Comercial,4887,2024-02-10,1160.41,0.18,879.66,25
89,Grant-Dawson,Centro,Residencial,322,2024-08-23,1099.64,0.11,35.42,20
90,"Mack, Copeland and Dominguez",Sur,Residencial,8798,2024-10-28,1458.59,0.2,1759.6000000000001,51
91,"Gilbert, Garcia and Grant",Sur,Comercial,8381,2024-09-03,1889.53,0.22,1843.82,47
92,"Thomas, Kirk and Ibarra",Centro,Residencial,7334,2024-07-16,270.28,0.13,953.4200000000001,41
93,Castro-Blackwell,Sur,Residencial,4007,2024-05-03,1770.74,0.13,520.91,70
94,Walsh Ltd,Oeste,Residencial,6626,2024-09-07,1359.17,0.22,1457.72,3
95,"Wilson, Robertson and Burns",Centro,Comercial,9299,2024-10-10,249.95,0.16,1487.84,11
96,Harris Group,Oeste,Comercial,5815,2024-02-05,563.2,0.25,1453.75,53
97,"Mills, Garcia and Lee",Norte,Comercial,4192,2024-09-21,1795.08,0.2,838.4000000000001,61
98,"Rodriguez, Washington and Martin",Sur,Residencial,7802,2024-01-12,478.39,0.15,1170.3,19
99,"Dunn, Torres and Bates",Norte,Residencial,3129,2024-02-01,1379.89,0.21,657.09,33
100,Martinez Group,Norte,Residencial,3371,2024-10-26,841.78,0.11,370.81,50
101,Hoffman LLC,Sur,Comercial,1904,2024-07-08,546.21,0.17,323.68,35
102,"Farmer, Anderson and Curtis",Centro,Comercial,1067,2024-06-01,605.96,0.2,213.4,6
103,Maldonado Group,Norte,Comercial,4326,2024-02-01,1856.32,0.17,735.4200000000001,2
104,Schultz-Allen,Centro,Residencial,5167,2024-10-16,1895.13,0.16,826.72,71
105,Green Group,Sur,Comercial,7862,2024-01-13,812.06,0.25,1965.5,73
106,Bennett-Smith,Centro,Comercial,7651,2024-02-07,1048.09,0.17,1300.67,1
107,Miller LLC,Sur,Residencial,260,2024-06-05,1059.12,0.15,39.0,62
108,Moore Inc,Oeste,Residencial,4535,2024-03-07,1093.7,0.17,770.95,44
109,Stone-Kennedy,Sur,Comercial,5905,2024-04-24,1074.08,0.13,767.65,67
110,"Payne, Barber and Cameron",Este,Residencial,8585,2024-06-27,57.69,0.16,1373.6000000000001,69
111,Vargas PLC,Este,Residencial,5690,2024-10-03,781.26,0.11,625.9,27
112,Burke and Sons,Norte,Comercial,1647,2024-01-30,284.45,0.23,378.81,22
113,Beasley LLC,Oeste,Residencial,8548,2024-04-04,1234.89,0.13,1111.24,76
114,Zhang-Jenkins,Centro,Comercial,3244,2024-02-21,182.53,0.24,778.56,37
115,Jones LLC,Centro,Residencial,5322,2024-08-15,958.8,0.19,1011.1800000000001,24
116,"Snow, Ramirez and Allen",Sur,Residencial,7437,2024-05-27,1056.1,0.11,818.07,88
117,Coleman Inc,Centro,Residencial,4788,2024-03-21,1408.3,0.19,909.72,61
118,"Ellis, Wilcox and Rodriguez",Este,Residencial,6879,2024-01-29,571.82,0.23,1582.17,82
119,Rodriguez Inc,Este,Residencial,4885,2024-01-11,589.5,0.11,537.35,18
120,"Bailey, Lewis and Thomas",Norte,Comercial,3458,2024-02-02,1323.71,0.24,829.92,12
121,"Fischer, Meyers and Herrera",Sur,Comercial,7496,2024-01-21,1541.48,0.13,974.48,27
122,Jordan Inc,Centro,Comercial,1689,2024-01-06,84.47,0.17,287.13,8
123,Clark-Pena,Oeste,Residencial,9384,2024-09-22,723.74,0.11,1032.24,60
124,Sanchez-Lopez,Este,Comercial,1290,2024-03-05,307.95,0.16,206.4,58
125,"Stafford, Sampson and Martin",Este,Residencial,8680,2024-01-27,998.39,0.21,1822.8,76
126,King-Horn,Este,Residencial,6692,2024-07-07,677.72,0.24,1606.08,97
127,Hernandez and Sons,Oeste,Comercial,5822,2024-07-31,1402.6,0.19,1106.18,11
128,Williams Inc,Oeste,Comercial,5008,2024-06-09,928.56,0.24,1201.9199999999998,74
129,"Collins, White and Pierce",Oeste,Comercial,8481,2024-11-01,1953.7,0.2,1696.2,56
130,Harris-Good,Este,Comercial,1457,2024-07-22,652.72,0.12,174.84,83
131,"Moreno, Adams and Schneider",Este,Residencial,4894,2024-11-03,681.73,0.23,1125.6200000000001,45
132,"Rodriguez, Johnson and Clark",Este,Residencial,2033,2024-03-01,1657.23,0.12,243.95999999999998,37
133,"Myers, Dominguez and Valdez",Este,Comercial,9479,2024-10-19,1834.78,0.11,1042.69,20
134,Johnson LLC,Oeste,Residencial,7381,2024-09-09,467.71,0.12,885.7199999999999,31
135,Martinez PLC,Sur,Residencial,1215,2024-06-19,224.84,0.13,157.95000000000002,33
136,Soto Group,Oeste,Comercial,3819,2024-01-26,1379.35,0.15,572.85,99
137,Gutierrez and Sons,Centro,Residencial,7695,2024-03-21,326.98,0.11,846.45,93
138,Barrett-Frye,Este,Residencial,2210,2024-09-13,1975.78,0.21,464.09999999999997,23
139,Brown-Higgins,Oeste,Comercial,932,2024-07-09,813.11,0.24,223.67999999999998,98
140,Bautista-Mcdowell,Centro,Comercial,5560,2024-07-31,783.41,0.18,1000.8,82
141,Olsen-Williams,Este,Comercial,1205,2024-08-05,1123.45,0.16,192.8,72
142,Paul-Hayes,Oeste,Residencial,8331,2024-02-06,1068.14,0.18,1499.58,11
143,Horn-Harrell,Norte,Residencial,9494,2024-06-19,1213.44,0.18,1708.9199999999998,33
144,Jennings-Montgomery,Centro,Residencial,5435,2024-09-30,635.7,0.22,1195.7,4
145,Peck Inc,Oeste,Residencial,1550,2024-06-10,174.81,0.14,217.00000000000003,95
146,Sampson-Austin,Centro,Comercial,967,2024-08-30,675.94,0.11,106.37,68
147,Williams Group,Centro,Comercial,597,2024-09-10,648.16,0.13,77.61,59
148,Allen LLC,Centro,Comercial,3591,2024-11-07,231.45,0.11,395.01,84
149,Zamora LLC,Centro,Comercial,9227,2024-09-15,394.38,0.25,2306.75,76
150,Jones PLC,Norte,Comercial,4895,2024-09-14,425.09,0.16,783.2,47
151,"Howell, Valdez and Wells",Norte,Comercial,8223,2024-04-26,368.23,0.2,1644.6000000000001,87
152,Espinoza LLC,Oeste,Comercial,1669,2024-05-11,1846.63,0.21,350.49,29
153,Wilson-Christian,Norte,Residencial,5699,2024-10-04,946.02,0.22,1253.78,62
154,Perkins Ltd,Centro,Comercial,2551,2024-07-31,1680.99,0.14,357.14000000000004,78
155,Duncan LLC,Este,Comercial,7906,2024-02-24,1007.82,0.25,1976.5,94
156,Chandler Inc,Sur,Residencial,1416,2024-09-06,56.71,0.13,184.08,8
157,Thompson-Villanueva,Norte,Residencial,6345,2024-09-23,949.67,0.11,697.95,18
158,Garza PLC,Centro,Residencial,3654,2024-10-02,342.94,0.22,803.88,27
159,Harrell-Floyd,Centro,Residencial,7880,2024-03-16,1775.34,0.22,1733.6,4
160,Reynolds Ltd,Sur,Comercial,8868,2024-09-07,85.56,0.13,1152.8400000000001,78
161,Harrington PLC,Oeste,Comercial,5804,2024-09-13,1436.88,0.25,1451.0,41
162,"Weaver, Drake and Bennett",Sur,Comercial,8878,2024-07-07,613.39,0.1,887.8000000000001,37
163,"Ortiz, Gonzalez and Morales",Oeste,Comercial,6774,2024-11-08,415.41,0.18,1219.32,18
164,"Molina, Watkins and Cook",Centro,Comercial,3780,2024-08-15,154.74,0.15,567.0,76
165,"Romero, Lewis and Webster",Centro,Comercial,2933,2024-01-18,647.53,0.22,645.26,27
166,Mcmillan-Perry,Este,Comercial,6521,2024-03-01,1561.04,0.12,782.52,0
167,"Mcfarland, Cole and Robinson",Norte,Residencial,6879,2024-03-23,387.08,0.23,1582.17,26
168,Johnson-Herman,Norte,Residencial,3956,2024-10-10,495.83,0.19,751.64,41
169,"Garrett, Hale and Kennedy",Oeste,Residencial,5524,2024-10-06,1442.2,0.13,718.12,90
170,Love LLC,Centro,Residencial,1449,2024-06-09,1758.58,0.21,304.28999999999996,23
171,"Whitney, Chambers and Browning",Centro,Residencial,2703,2024-05-18,669.7,0.15,405.45,39
172,Ball-Martinez,Norte,Residencial,5057,2024-04-01,1530.55,0.22,1112.54,42
173,Hanson-George,Centro,Comercial,3090,2024-08-13,1551.45,0.11,339.9,98
174,"Torres, Bird and Thomas",Este,Comercial,9515,2024-02-29,1500.72,0.13,1236.95,62
175,Black Group,Oeste,Residencial,5532,2024-02-14,1140.05,0.21,1161.72,11
176,"Howell, Garza and Smith",Este,Comercial,3980,2024-05-06,417.47,0.14,557.2,3
177,Vazquez-Banks,Este,Residencial,9949,2024-03-14,1730.5,0.14,1392.8600000000001,20
178,"Martin, Wallace and Jefferson",Norte,Residencial,2570,2024-01-12,1279.7,0.18,462.59999999999997,30
179,"Price, West and Alvarez",Norte,Residencial,8868,2024-11-07,1249.5,0.18,1596.24,35
180,"Rodriguez, Hamilton and Henry",Centro,Residencial,9232,2024-06-24,1003.09,0.23,2123.36,46
181,Gonzalez Group,Oeste,Residencial,6234,2024-02-23,495.33,0.2,1246.8000000000002,17
182,Simon Ltd,Sur,Residencial,4978,2024-09-12,1458.23,0.24,1194.72,21
183,Jordan and Sons,Oeste,Comercial,9343,2024-01-08,344.23,0.13,1214.5900000000001,72
184,Banks-Davis,Este,Residencial,5943,2024-01-08,1693.65,0.12,713.16,21
185,Burke-Bailey,Este,Comercial,6514,2024-07-07,1698.11,0.12,781.68,71
186,Gardner Ltd,Centro,Residencial,7533,2024-01-06,1768.66,0.18,1355.94,52
187,Burch-Elliott,Sur,Comercial,3049,2024-05-19,1369.36,0.18,548.8199999999999,78
188,Graham-French,Oeste,Comercial,2264,2024-05-10,832.95,0.22,498.08,64
189,Hayes-Jordan,Sur,Comercial,3819,2024-02-25,1224.56,0.19,725.61,87
190,Brown-Allison,Sur,Comercial,4264,2024-10-19,645.56,0.2,852.8000000000001,30
191,"Reid, Jones and Mooney",Este,Comercial,4245,2024-04-11,1206.17,0.19,806.55,67
192,Todd Inc,Sur,Residencial,3578,2024-08-29,92.54,0.1,357.8,6
193,Clark-Carlson,Centro,Comercial,835,2024-05-24,1918.71,0.1,83.5,46
194,"Morris, Zuniga and Smith",Oeste,Residencial,6694,2024-05-21,961.69,0.12,803.28,28
195,Cole Ltd,Sur,Comercial,8522,2024-07-23,172.27,0.13,1107.8600000000001,97
196,Jacobs PLC,Este,Comercial,8952,2024-03-06,1499.08,0.25,2238.0,81
197,"Meyer, Hill and West",Este,Residencial,2405,2024-09-18,1354.31,0.1,240.5,97
198,Murray Ltd,Sur,Comercial,1564,2024-09-24,490.26,0.14,218.96,70
199,Brown Inc,Centro,Residencial,3194,2024-07-13,1177.4,0.11,351.34,64
200,"Freeman, Porter and Silva",Oeste,Comercial,9104,2024-03-22,220.52,0.14,1274.5600000000002,2
201,Obrien PLC,Oeste,Residencial,891,2024-09-30,1711.6,0.17,151.47,33
202,"Lutz, Sandoval and Bird",Norte,Residencial,7059,2024-03-14,728.06,0.17,1200.03,2
203,"Pope, Evans and Abbott",Centro,Comercial,5013,2024-08-01,508.02,0.19,952.47,3
204,"Barnes, Foley and Thornton",Sur,Residencial,912,2024-05-07,1086.04,0.11,100.32000000000001,24
205,Mckenzie-George,Este,Comercial,8465,2024-01-14,1696.17,0.19,1608.35,98
206,Hopkins-Rodriguez,Sur,Residencial,8166,2024-01-03,1145.5,0.14,1143.24,10
207,Howe-Joseph,Este,Comercial,2650,2024-01-04,1098.4,0.19,503.5,1
208,"Erickson, Gordon and Morrison",Centro,Comercial,9784,2024-01-23,1660.65,0.2,1956.8000000000002,29
209,Carter-Smith,Sur,Residencial,4454,2024-02-08,245.52,0.22,979.88,90
210,Cook-Mullins,Centro,Comercial,1246,2024-02-04,139.5,0.19,236.74,37
211,Hess Group,Norte,Residencial,1705,2024-08-23,759.73,0.1,170.5,50
212,"Whitney, Pugh and Hurst",Centro,Comercial,6693,2024-05-02,690.93,0.23,1539.39,90
213,Valencia-Payne,Centro,Comercial,2125,2024-06-12,1071.2,0.15,318.75,8
214,"Green, Bailey and Pennington",Norte,Residencial,6397,2024-07-18,57.9,0.16,1023.52,63
215,"Phillips, Roberts and Taylor",Centro,Comercial,3316,2024-01-19,1151.56,0.16,530.5600000000001,44
216,Brown and Sons,Oeste,Residencial,9829,2024-07-11,373.11,0.21,2064.09,96
217,"Oneill, David and Adams",Norte,Residencial,8894,2024-09-21,1197.43,0.11,978.34,46
218,"Gonzalez, Robinson and Johnson",Norte,Residencial,3024,2024-06-09,1456.31,0.14,423.36,8
219,Daniel-Ayala,Centro,Comercial,9445,2024-04-19,592.99,0.12,1133.3999999999999,30
220,"Williams, Malone and Gonzalez",Este,Residencial,6175,2024-07-11,1686.61,0.24,1482.0,33
221,Garner Ltd,Sur,Comercial,9708,2024-04-24,1534.17,0.2,1941.6000000000001,46
222,Williams Ltd,Oeste,Residencial,4711,2024-03-21,221.75,0.24,1130.6399999999999,71
223,Christian LLC,Sur,Residencial,2329,2024-05-12,581.74,0.13,302.77000000000004,10
224,Davis-Clark,Oeste,Residencial,7749,2024-02-05,817.18,0.15,1162.35,35
225,Paul Ltd,Norte,Comercial,2665,2024-06-07,949.28,0.11,293.15,50
226,Jacobs-Ramirez,Sur,Comercial,3066,2024-04-22,1882.4,0.12,367.91999999999996,57
227,Riley PLC,Norte,Residencial,6196,2024-03-21,96.06,0.18,1115.28,33
228,Watts-Dorsey,Oeste,Comercial,9598,2024-06-09,1687.34,0.14,1343.72,37
229,Washington Inc,Este,Comercial,7133,2024-04-14,521.29,0.1,713.3000000000001,2
230,Vargas-Horne,Sur,Residencial,8348,2024-04-04,1295.59,0.11,918.28,36
231,Fernandez-Morales,Este,Comercial,8110,2024-05-01,484.1,0.14,1135.4,92
232,Robertson-Ramos,Oeste,Comercial,3151,2024-07-02,1855.1,0.22,693.22,63
233,"Newman, Garrison and Ramos",Oeste,Residencial,5239,2024-04-12,1556.36,0.18,943.02,27
234,Figueroa and Sons,Norte,Residencial,915,2024-01-08,1446.21,0.22,201.3,63
235,Morgan Inc,Norte,Residencial,1435,2024-05-14,582.41,0.17,243.95000000000002,46
236,Porter PLC,Centro,Comercial,1594,2024-08-22,1674.11,0.14,223.16000000000003,16
237,"Douglas, Palmer and West",Norte,Comercial,9999,2024-01-19,1959.12,0.1,999.9000000000001,60
238,"Long, Rios and Burke",Oeste,Residencial,950,2024-09-03,1861.6,0.21,199.5,98
239,Horne-Webb,Sur,Residencial,3245,2024-04-08,51.21,0.14,454.30000000000007,39
240,Hartman PLC,Este,Residencial,6610,2024-09-09,1402.32,0.11,727.1,84
241,Sanchez Ltd,Sur,Residencial,3857,2024-01-21,131.72,0.23,887.11,46
242,Olsen-Henry,Sur,Residencial,2243,2024-04-15,989.01,0.13,291.59000000000003,94
243,Parker-Rodriguez,Sur,Comercial,1279,2024-07-28,1018.37,0.19,243.01,26
244,"Miller, Jackson and Williams",Centro,Residencial,9748,2024-03-05,846.02,0.18,1754.6399999999999,28
245,"Gamble, Phillips and Andrews",Sur,Residencial,6627,2024-05-30,512.9,0.19,1259.13,18
246,Anderson PLC,Oeste,Residencial,9595,2024-04-09,1567.23,0.24,2302.7999999999997,89
247,"Crawford, Pope and Wade",Sur,Comercial,875,2024-01-22,841.41,0.18,157.5,44
248,"Thomas, Cooke and Moore",Oeste,Comercial,3348,2024-08-10,594.61,0.17,569.1600000000001,21
249,"Hill, Johnson and Kim",Oeste,Comercial,1576,2024-09-08,1722.0,0.17,267.92,83
250,"Nguyen, Chambers and Gaines",Oeste,Comercial,9872,2024-08-02,856.55,0.12,1184.6399999999999,90
251,Williams-Allen,Este,Comercial,4930,2024-09-17,566.72,0.21,1035.3,77
252,"Garcia, Perez and Scott",Oeste,Comercial,4882,2024-07-30,1734.85,0.11,537.02,4
253,"Sullivan, Price and Hall",Norte,Comercial,9008,2024-08-12,1022.0,0.17,1531.3600000000001,9
254,Day Group,Norte,Comercial,5188,2024-10-17,502.81,0.14,726.32,93
255,Morris-Jenkins,Este,Comercial,5467,2024-08-14,480.93,0.24,1312.08,55
256,Elliott Ltd,Este,Comercial,4256,2024-09-24,1385.31,0.19,808.64,89
257,"Villa, Mcintyre and Mendoza",Norte,Comercial,5245,2024-10-23,1067.3,0.11,576.95,71
258,Dean-Hall,Oeste,Comercial,6920,2024-03-20,1209.89,0.25,1730.0,73
259,Butler and Sons,Sur,Comercial,9895,2024-04-10,1611.46,0.17,1682.15,98
260,Nguyen Group,Sur,Residencial,5622,2024-07-14,316.72,0.13,730.86,85
261,Crawford and Sons,Centro,Comercial,3974,2024-02-19,1503.23,0.11,437.14,69
262,Lawson-Smith,Centro,Residencial,146,2024-09-03,627.13,0.2,29.200000000000003,89
263,"Macias, Harris and Harris",Sur,Residencial,5535,2024-03-27,503.67,0.24,1328.3999999999999,59
264,Rodriguez Ltd,Sur,Comercial,5083,2024-10-02,1974.56,0.24,1219.9199999999998,46
265,Johnson-Brooks,Norte,Comercial,4325,2024-05-28,231.34,0.19,821.75,29
266,Flores Inc,Sur,Comercial,5082,2024-01-02,1187.89,0.23,1168.8600000000001,91
267,Brown-Erickson,Este,Comercial,2779,2024-08-19,753.9,0.14,389.06000000000006,21
268,"Johnson, Greer and Williams",Oeste,Comercial,1921,2024-03-04,604.9,0.14,268.94,21
269,Cantu-Hawkins,Este,Comercial,9643,2024-03-02,245.59,0.22,2121.46,98
270,Carr Ltd,Oeste,Residencial,2140,2024-08-25,104.97,0.1,214.0,61
271,Clark-Bell,Sur,Comercial,7935,2024-06-30,1671.03,0.22,1745.7,13
272,Huber-Vega,Oeste,Comercial,3213,2024-04-14,748.9,0.16,514.08,51
273,Stuart Ltd,Oeste,Comercial,6112,2024-07-18,826.0,0.19,1161.28,51
274,"Larson, Thompson and Hayes",Norte,Residencial,3176,2024-05-24,1941.03,0.1,317.6,37
275,"Lee, Lowe and Conley",Este,Residencial,6607,2024-08-26,611.53,0.17,1123.19,51
276,Deleon Inc,Oeste,Residencial,8294,2024-08-27,781.56,0.23,1907.6200000000001,43
277,Patton-Gibson,Norte,Comercial,5219,2024-10-23,1595.35,0.14,730.6600000000001,20
278,Rodriguez Group,Centro,Comercial,7672,2024-04-24,468.08,0.22,1687.84,63
279,Bell LLC,Sur,Comercial,9207,2024-01-03,812.7,0.25,2301.75,93
280,Lewis and Sons,Sur,Comercial,9413,2024-06-12,542.44,0.13,1223.69,28
281,Coffey Inc,Oeste,Residencial,2444,2024-07-04,1940.15,0.23,562.12,87
282,Koch-Allen,Norte,Residencial,8731,2024-06-06,968.51,0.14,1222.3400000000001,40
283,Jones-Baker,Oeste,Comercial,3396,2024-09-18,516.49,0.21,713.16,37
284,"Bonilla, Jones and Hernandez",Oeste,Residencial,4464,2024-01-25,87.88,0.25,1116.0,18
285,Hale Inc,Norte,Residencial,2058,2024-03-16,1933.68,0.18,370.44,48
286,Haley-Smith,Oeste,Residencial,358,2024-08-18,316.37,0.16,57.28,67
287,Sexton-Alexander,Este,Comercial,1343,2024-05-09,927.51,0.23,308.89,76
288,Hull-Lam,Norte,Comercial,7685,2024-10-18,1002.16,0.15,1152.75,81
289,Aguilar-Stephens,Norte,Comercial,7286,2024-03-20,1398.27,0.1,728.6,83
290,Hill-Lester,Norte,Residencial,2268,2024-01-31,856.5,0.2,453.6,30
291,Riggs-Browning,Sur,Comercial,9797,2024-07-01,1329.1,0.11,1077.67,43
292,Hardin and Sons,Sur,Residencial,342,2024-07-19,751.92,0.18,61.559999999999995,85
